year,state,county_name,urbanicity,region,division,pop_category,population,pretrial_population
1970,AL,Autauga County,small/mid,South,East South Central,Total,14154,0
1971,AL,Autauga County,small/mid,South,East South Central,Total,14765,0
1972,AL,Autauga County,small/mid,South,East South Central,Total,15939,0
1973,AL,Autauga County,small/mid,South,East South Central,Total,16906,0
1974,AL,Autauga County,small/mid,South,East South Central,Total,17578,0
1975,AL,Autauga County,small/mid,South,East South Central,Total,18007,0
1976,AL,Autauga County,small/mid,South,East South Central,Total,18476,0
1977,AL,Autauga County,small/mid,South,East South Central,Total,19068,0
1978,AL,Autauga County,small/mid,South,East South Central,Total,19566,0
1979,AL,Autauga County,small/mid,South,East South Central,Total,20523,0
1980,AL,Autauga County,small/mid,South,East South Central,Total,20767,0
1981,AL,Autauga County,small/mid,South,East South Central,Total,20686,0
1982,AL,Autauga County,small/mid,South,East South Central,Total,20790,0
1983,AL,Autauga County,small/mid,South,East South Central,Total,20849,11
1984,AL,Autauga County,small/mid,South,East South Central,Total,20967,11.2
1985,AL,Autauga County,small/mid,South,East South Central,Total,21116,11.4
1986,AL,Autauga County,small/mid,South,East South Central,Total,21603,11.6
1987,AL,Autauga County,small/mid,South,East South Central,Total,21895,11.8
1988,AL,Autauga County,small/mid,South,East South Central,Total,22133,12
1989,AL,Autauga County,small/mid,South,East South Central,Total,22356,12
1990,AL,Autauga County,small/mid,South,East South Central,Total,22729,21
1991,AL,Autauga County,small/mid,South,East South Central,Total,23123,36
1992,AL,Autauga County,small/mid,South,East South Central,Total,23790,10
1993,AL,Autauga County,small/mid,South,East South Central,Total,24392,22
1994,AL,Autauga County,small/mid,South,East South Central,Total,25232,21
1995,AL,Autauga County,small/mid,South,East South Central,Total,25798,20
1996,AL,Autauga County,small/mid,South,East South Central,Total,26547,19
1997,AL,Autauga County,small/mid,South,East South Central,Total,27227,18
1998,AL,Autauga County,small/mid,South,East South Central,Total,27855,17
1999,AL,Autauga County,small/mid,South,East South Central,Total,28397,16
2000,AL,Autauga County,small/mid,South,East South Central,Total,29066,36.83333
2001,AL,Autauga County,small/mid,South,East South Central,Total,29665,57.66667
2002,AL,Autauga County,small/mid,South,East South Central,Total,30289,78.5
2003,AL,Autauga County,small/mid,South,East South Central,Total,30912,99.33334
2004,AL,Autauga County,small/mid,South,East South Central,Total,31965,120.1667
2005,AL,Autauga County,small/mid,South,East South Central,Total,32859,141
2006,AL,Autauga County,small/mid,South,East South Central,Total,34019,135.5
2007,AL,Autauga County,small/mid,South,East South Central,Total,34773,130
2008,AL,Autauga County,small/mid,South,East South Central,Total,35356,124.5
2009,AL,Autauga County,small/mid,South,East South Central,Total,35882,119
2010,AL,Autauga County,small/mid,South,East South Central,Total,36165,113.5
2011,AL,Autauga County,small/mid,South,East South Central,Total,36321,108
2012,AL,Autauga County,small/mid,South,East South Central,Total,36569,102.5
2013,AL,Autauga County,small/mid,South,East South Central,Total,36187,97
2014,AL,Autauga County,small/mid,South,East South Central,Total,36114,97
2015,AL,Autauga County,small/mid,South,East South Central,Total,36215,97
2016,AL,Autauga County,small/mid,South,East South Central,Total,36103,NA
